Name: ,Specialization,Highest degree: ,Experience,Fee,Degrees:,Wait_time,Number of Patients:,Rating,Location
Dr. Noorjahan Shaikh,"Gynecologist, Obstetrician",M.B.B.S,45 Years,"Rs. 5,000",M.R.C.O.G (Gynecology & Obstetrics),Under 15 Min,129,99%,Karachi
Dr. Abeda Ariff,"Gynecologist, Obstetrician",M.B.B.S,11 Years,Rs. 800,F.C.P.S,Under 15 Min,177,100%,Karachi
Prof. Dr. Anjum Rehman,"Gynecologist, Cancer Surgeon, Fertility Consultant, Obstetrician, Laparoscopic Surgeon",M.B.B.S,18 Years,"Rs. 2,500","F.C.P.S. (Gynecology & Obstetrician),  M.C.P.S,  M.R.C.S,  M.I.G.S,  C.H.P.E",Under 15 Min,268,95%,Karachi
Dr. Uzma Abidi,"Gynecologist, Obstetrician",M.B.B.S,"100%
                                                                                    (5)","Rs. 1,000",Diploma in Gynecology & Obstetrics,10 Years,5,,Karachi
Dr. Atrooba Ismail,"Gynecologist, Obstetrician",MBBS,5 Years,"Rs. 1,000",MCPS (Gynecology and Obstetrics),15 - 30 Min,17,100%,Karachi
Dr. S. Kosar,"Gynecologist, Obstetrician",MBBS,14 Years,"Rs. 1,200",MCPS (Gynecologist & Obstetrics),Under 15 Min,193,97%,Karachi
Prof. Dr. Nusrat Shah Kamal,"Gynecologist, Obstetrician",MBBS,20 Years,"Rs. 2,000","FCPS (Obstetrics & Gynecology),  MCPS (Obstetrics & Gynecology),  MHPE",Under 15 Min,179,99%,Karachi
Dr. Amna Tariq,"Gynecologist, Obstetrician",MBBS,6 Years,"Rs. 1,000",MCPS (Gynecology and Obstetrics),Under 15 Min,326,99%,Karachi
Dr. Fouzia Rasool Memon,"Gynecologist, Fertility Consultant, Obstetrician, Laparoscopic Surgeon",MBBS,16 Years,"Rs. 3,000","MRCOG,  DFSRH (UK),  CCT (UK)",15 - 30 Min,218,100%,Karachi
Dr. Humaira Tahseen,"Gynecologist, Obstetrician",MBBS,10 Years,Not Available,FCPS (Gynecology and Obstetrics),Under 15 Min,206,100%,Karachi
Dr. Nilofur Alvi,"Gynecologist, Obstetrician",MBBS,20 Years,"Rs. 1,500",MCPS (Gynecology & Obstetrics),Under 15 Min,182,98%,Karachi
Dr. Nadia Rahman,"Gynecologist, Obstetrician",M.B.B.S.,9 Years,"Rs. 1,500",F.C.P.S. (IMM),Under 15 Min,10,90%,Karachi
Dr. Uzma Taqi,"Gynecologist, Obstetrician",MBBS,22 Years,"Rs. 1,000",MCPS,Under 15 Min,14,92%,Karachi
Dr. Fozia Akmal,"Gynecologist, Obstetrician",M.B.B.S.,25 Years,"Rs. 1,000",FCPS (Gynecology & Obstetrician),15 - 30 Min,456,98%,Karachi
Dr. Bhawna,"Gynecologist, Obstetrician",MBBS,12 Years,Rs. 700,"F.C.P.S.,  MS Certification in Reproductive Medicine",15 - 30 Min,223,100%,Karachi
Dr. Razia Saeed,"Gynecologist, Obstetrician",M.B.B.S.,22 Years,"Rs. 2,000",M.C.P.S. (Gynecology & Obstetrics),Under 15 Min,6,100%,Karachi
Dr. Gulnar Begam,"Gynecologist, Obstetrician",MBBS,42 Years,"Rs. 1,100",MCPS (Genecology and Obstetrics),Under 15 Min,38,98%,Karachi
Dr. Nida Niaz,"Gynecologist, Obstetrician",M.B.B.S,"100%
                                                                                    (7)",Not Available,F.C.P.S,6 Years,7,,Karachi
Dr. Rafia Quraishi,"Gynecologist, Obstetrician",M.B.B.S,35 Years,Not Available,M.C.P.S (Gynecology & Obstetrician),Under 15 Min,32,95%,Karachi
Prof. Dr. Rumina Tabassum,"Gynecologist, Obstetrician",MBBS,36 Years,"Rs. 1,500","F.C.P.S. (Gynecology & Obstetrician),  M.C.P.S. (Gynecology & Obstetrician)",Under 15 Min,98,99%,Karachi
Dr. Qurat Ul Ain,"Gynecologist, Obstetrician",MBBS,15 Years,"Rs. 1,000",FCPS (Obstetrics & Gynecology),Under 15 Min,74,100%,Karachi
Dr. Riffat Sultana,"Gynecologist, Obstetrician",MBBS,14 Years,"Rs. 1,000","FCPS (Gynecology & Obstetrician),  MCPS (Gynecology & Obstetrician)",15 - 30 Min,217,99%,Karachi
Dr. Mahwish Iqbal,"Obstetrician, Fertility Consultant, Gynecologist",MBBS,21 Years,Not Available,MRCOG,15 - 30 Min,9,100%,Karachi
Dr. Mehwish Shah,"Gynecologist, Obstetrician",MBBS,13 Years,"Rs. 1,500",FCPS,15 - 30 Min,13,100%,Karachi
Dr. Fakhra A. Sanjrani,"Obstetrician, Gynecologist",M.D,15 Years,"Rs. 2,500",D.G.O,Under 15 Min,198,98%,Karachi
Dr. Saima Laghari,"Gynecologist, Obstetrician",MBBS,12 Years,Rs. 800,FCPS (Obstetrics & Gynecology),Under 15 Min,218,99%,Karachi
Dr.  Gianshari Prem,"Gynecologist, Obstetrician",MBBS,8 Years,Rs. 200,MCPS,15 - 30 Min,11,100%,Karachi
Dr. Mehreen Yousaf Rana,"Gynecologist, Obstetrician",MBBS,11 Years,"Rs. 1,350",FCPS (Gynecology & Obstetrics),15 - 30 Min,115,99%,Karachi
Dr. Shaista Aziz,"Gynecologist, Obstetrician",M.B.B.S,28 Years,"Rs. 1,400",F.C.P.S (Gynecology & Obstetrics),Under 15 Min,4,100%,Karachi
Dr. Summiya Manzoor,"Gynecologist, Obstetrician",F.C.P.S.,16 Years,"Rs. 1,000",M.B.B.S.,Under 15 Min,211,99%,Karachi
Dr. Rabia Yasir,"Gynecologist, Obstetrician",MBBS,19 Years,Not Available,RCOG,Under 15 Min,19,100%,Karachi
Dr. Aisha Abdul Razzaque,"Gynecologist, Obstetrician",MBBS,22 Years,"Rs. 1,500",FCPS (Obstetrics & Gynecology),Under 15 Min,59,100%,Karachi
Dr. Farah Naz,"Gynecologist, Obstetrician",MBBS,15 Years,"Rs. 2,000",MCPS (Gynae & Obs),Under 15 Min,171,98%,Karachi
Dr. Quraisha Rashid,"Gynecologist, Obstetrician",MBBS,30 Years,Rs. 800,MCPS (Genecology and Obstetrics),Under 15 Min,16,100%,Karachi
Dr. Shaista Asad Khan,"Gynecologist, Obstetrician",MBBS,30 Years,Rs. 700,"FCPS (Obstetrics & Gynecology),  MCPS (Obstetrics & Gynecology)",Under 15 Min,132,100%,Karachi
Dr. Erum ilyas,"Gynecologist, Obstetrician",M.B.B.S.,25 Years,Rs. 500,F.C.P.S (Gynecology & Obstetrics),15 - 30 Min,15,100%,Karachi
Prof. Dr. Zeryab Setna,"Fertility Consultant, Obstetrician, Gynecologist",MBBS,10 Years,"Rs. 4,000","MRCOG,  PG Certificate Health Research",15 - 30 Min,388,98%,Karachi
Dr. Namia Nazir,"Gynecologist, Obstetrician",MBBS,10 Years,"Rs. 1,000",FCPS (Obstetric & Gynecology),5 Years,not available,98%,Karachi
Dr. Asma Iqbal,"Gynecologist, Obstetrician",M.B.B.S.,17 Years,"Rs. 2,000",F.C.P.S. (Gynecology & Obstetrics),Under 15 Min,74,99%,Karachi
Dr. Saliha Kanwal Ali,"Gynecologist, Obstetrician",M.B.B.S,14 Years,Rs. 900,F.C.P.S (Gynecology & Obstetrics),15 - 30 Min,2,100%,Karachi
Dr. Sughra Abbasi,"Gynecologist, Obstetrician",MBBS,18 Years,"Rs. 1,500","FCPS,  MCPS",Under 15 Min,87,99%,Karachi
Dr. Razia Baloch,"Gynecologist, Obstetrician",MBBS,35 Years,Not Available,Dip in Gynae,Under 15 Min,49,94%,Karachi
Dr. Shafaq Ismail,"Gynecologist, Fertility Consultant, Obstetrician",MBBS,9 Years,"Rs. 2,000",FCPS,Under 15 Min,15,92%,Karachi
Dr. Shahid Qureshi,"Urologist, Pediatric Urologist, Male Sexual Health Specialist, Laser Specialist, Renal Surgeon, Endoscopic Surgeon, Sexologist",M.B.B.S.,12 Years,"Rs. 2,000","M.C.P.S,  F.C.P.S.,  FACS (USA)",Under 15 Min,2585,99%,Lahore
Dr. Abdul Rauf,"Urologist, Male Sexual Health Specialist, Kidney Transplant Surgeon",MBBS,14 Years,"Rs. 2,000",FCPS (Urology),Under 15 Min,588,99%,Lahore
Dr. Junaid Ishfaq Khawaja,"Urologist, Sexologist",M.B.B.S,8 Years,"Rs. 1,500",F.C.P.S. (Urology),Under 15 Min,362,100%,Lahore
Prof. Dr. Irfan Nazir,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist",M.B.B.S,21 Years,"Rs. 2,500","F.C.P.S (Urology),  F.A.C.S. (USA)",15 - 30 Min,3761,97%,Lahore
Dr. Shaheen Khan Bahadar Awan,"Urologist, Fertility Consultant",MBBS,12 Years,"Rs. 2,000",MS (Urology Gold Medalist),15 - 30 Min,691,99%,Lahore
Dr. Zeeshan Ahmad Wains,"Urologist, Pediatric Urologist, Andrologist, Sexologist",MBBS,12 Years,"Rs. 2,000",FCPS (Urology),Under 15 Min,147,99%,Lahore
Prof. Dr. Fawad Nasrullah,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist",MBBS,28 Years,"Rs. 4,000",FCPS (Urology) FICS (USA),15 - 30 Min,2077,98%,Lahore
Dr. Muhammad Raheem Sajjad,Urologist,MBBS,11 Years,"Rs. 3,500",FCPS (Urology),Under 15 Min,589,100%,Lahore
Dr. Khalil Ahmad,"Urologist, Male Sexual Health Specialist, Sexologist",MBBS,14 Years,"Rs. 1,500",MS (Urology),15 - 30 Min,7,100%,Lahore
Dr. Ali Shandar Durrani,"Urologist, Male Sexual Health Specialist, Kidney Transplant Surgeon, Sexologist",M.B.B.S.,11 Years,"Rs. 3,000",F.C.P.S.,Under 15 Min,951,98%,Lahore
Dr. Sajid Iqbal,Urologist,MBBS,10 Years,"Rs. 2,000",MS (Urology),15 - 30 Min,118,100%,Lahore
Prof. Dr. Naveed Iqbal,"Urologist, Male Sexual Health Specialist, Kidney Transplant Surgeon, Sexologist",M.B.B.S,26 Years,"Rs. 3,000",F.C.P.S,Under 15 Min,631,97%,Lahore
Dr. Muhammad Sohail,"Urologist, Male Sexual Health Specialist, Endoscopic Surgeon",M.B.B.S.,12 Years,"Rs. 3,000",M.S (Urology),Under 15 Min,260,98%,Lahore
Dr. Shamim Hashim,"Urologist, Andrologist, Sexologist",MBBS,37 Years,"Rs. 3,000","FRCS (Ireland),  Dip. in Laparoscopic Surgery (France)",Under 15 Min,740,99%,Lahore
Dr. Muhammad Ejaz Siddiqui,"Andrologist, Urologist, Sexologist, Male Sexual Health Specialist",MBBS,15 Years,"Rs. 3,000","FCPS,  MCPS",Under 15 Min,297,99%,Lahore
Dr. Muhammad Ammar,"Urologist, Sexologist",M.B.B.S.,9 Years,"Rs. 2,000",F.C.P.S (Urology),Under 15 Min,811,98%,Lahore
Dr. Azme Hussain Shah,"Urologist, Andrologist, Kidney Transplant Surgeon",MBBS,32 Years,Not Available,"FRCS (UK),  FACS (USA)",Under 15 Min,10,100%,Lahore
Assist. Prof. Dr. Rana Muhammad Iqbal,"Urologist, Andrologist, Kidney Transplant Surgeon",M.B.B.S.,20 Years,"Rs. 4,000",M.S. Urology,Under 15 Min,119,100%,Lahore
Dr. Safdar Ali Shah,"Urologist, Andrologist, Kidney Transplant Surgeon, Sexologist",MBBS,20 Years,"Rs. 4,000","FCPS (Urology),  MS (Urology),  FRCS (Edinburgh)",15 - 30 Min,577,98%,Lahore
Dr. Azfar Ali,Urologist,MBBS,"100%
                                                                                    (2)","Rs. 3,000","MCPS,  FCPS (Urology)",15 - 30 Min,2,,Lahore
Dr. Abdul Rauf,"Urologist, Male Sexual Health Specialist, Kidney Transplant Surgeon",MBBS,14 Years,"Rs. 2,000",FCPS (Urology),Under 15 Min,588,99%,Lahore
Dr. Junaid Ishfaq Khawaja,"Urologist, Sexologist",M.B.B.S,8 Years,"Rs. 1,500",F.C.P.S. (Urology),Under 15 Min,362,100%,Lahore
Dr. Qamar Zaman,Urologist,MBBS,6 Years,"Rs. 2,500",FCPS (Urology),Under 15 Min,7,100%,Lahore
Dr. Muhammad Fayyaz,"Urologist, Sexologist",MBBS,5 Years,"Rs. 2,500","FCPS (Urology),  Certified in Robotic & Transplant Surgery",Under 15 Min,16,100%,Lahore
Dr. Safdar Ali Shah,"Urologist, Andrologist, Kidney Transplant Surgeon, Sexologist",MBBS,20 Years,"Rs. 4,000","FCPS (Urology),  MS (Urology),  FRCS (Edinburgh)",15 - 30 Min,577,98%,Lahore
Brig.(R) Dr. Muhammad Ramzan Ch,"Urologist, Andrologist, Male Sexual Health Specialist",M.B.B.S.,42 Years,"Rs. 4,000","F.C.P.S. (Urologist),  F.I.C.S.,  Dip. In Urology",Under 15 Min,1414,98%,Lahore
Dr. Irfan Sharif,"Urologist, Andrologist, Male Sexual Health Specialist, Endoscopic Surgeon, Sexologist",F.C.P.S. (Urology),7 Years,"Rs. 1,000",M.B.B.S,Under 15 Min,35,94%,Lahore
Dr. Muhammad Ejaz Siddiqui,"Andrologist, Urologist, Sexologist, Male Sexual Health Specialist",MBBS,15 Years,"Rs. 3,000","FCPS,  MCPS",Under 15 Min,297,99%,Lahore
Dr. Abid Abbas,"Urologist, Andrologist, Sexologist",M.B.B.S,10 Years,"Rs. 2,000",F.C.P.S. (Urology),15 - 30 Min,38,95%,Lahore
Dr. Kamran Zaidi,Urologist,MBBS,17 Years,"Rs. 3,000",MS (Urology) (Gold Medalist),Under 15 Min,1464,99%,Lahore
Assist. Prof. Dr. Rana Muhammad Iqbal,"Urologist, Andrologist, Kidney Transplant Surgeon",M.B.B.S.,20 Years,"Rs. 4,000",M.S. Urology,Under 15 Min,119,100%,Lahore
Dr. Sajid Iqbal,Urologist,MBBS,10 Years,"Rs. 2,000",MS (Urology),15 - 30 Min,118,100%,Lahore
Dr. Irfan Ahmed,"Uro-Oncologist, Urologist",M.B.B.S,33 Years,"Rs. 3,000","F.R.C.S (UK),  Dip. In Urology (London)",Under 15 Min,653,98%,Lahore
Prof. Dr. Naveed Iqbal,"Urologist, Male Sexual Health Specialist, Kidney Transplant Surgeon, Sexologist",M.B.B.S,26 Years,"Rs. 3,000",F.C.P.S,Under 15 Min,631,97%,Lahore
Dr. Muhammad Sohail,"Urologist, Male Sexual Health Specialist, Endoscopic Surgeon",M.B.B.S.,12 Years,"Rs. 3,000",M.S (Urology),Under 15 Min,260,98%,Lahore
Dr. Obaid Ur Rehman,Urologist,MBBS ( K.E.M.U),8 Years,"Rs. 2,500",FCPS ( Urology ),15 - 30 Min,28,100%,Lahore
Assoc. Prof. Dr. Muhammad Farooq,"General Surgeon, Andrologist, Male Sexual Health Specialist, Laparoscopic Surgeon, Sexologist, Urologist",M.B.B.S,40 Years,"Rs. 1,800","F.C.P.S. (Surgery),  F.C.P.S (Urology)",Under 15 Min,1600,98%,Lahore
Dr. Faisal Tasleem,Urologist,MBBS,20 Years,"Rs. 2,500",FRCS,Under 15 Min,68,97%,Lahore
Dr. Ghulam Ghous,Urologist,M.B.B.S,11 Years,"Rs. 2,500",F.C.P.S,Under 15 Min,239,97%,Lahore
Dr. Shamim Hashim,"Urologist, Andrologist, Sexologist",MBBS,37 Years,"Rs. 3,000","FRCS (Ireland),  Dip. in Laparoscopic Surgery (France)",Under 15 Min,740,99%,Lahore
Dr. Fawad Humayun Akhtar,Urologist,M.B.B.S.,10 Years,"Rs. 1,000",F.C.P.S. (Urology),Under 15 Min,419,98%,Lahore
Assist. Prof. Dr. Athar Mahmood,Urologist,M.B.B.S.,15 Years,"Rs. 2,500","M.C.P.S,  F.C.P.S. (Urology)",Under 15 Min,254,98%,Lahore
Dr. Faisal Ahmed Zaeem,"Urologist, Male Sexual Health Specialist, Uro-Oncologist",M.B.B.S.,19 Years,"Rs. 3,000","M.D,  MS (Urology)",15 - 30 Min,469,98%,Lahore
Dr. Muhammad Zahid Ahmad,"Urologist, Male Sexual Health Specialist, Sexologist",MBBS,16 Years,"Rs. 1,500","FCPS,  FICS",Under 15 Min,325,96%,Lahore
Dr. Zubair Ahmad Cheema,Urologist,M.B.B.S,18 Years,"Rs. 3,000",F.R.C.S. (Urology),15 - 30 Min,9,100%,Lahore
Dr. Azme Hussain Shah,"Urologist, Andrologist, Kidney Transplant Surgeon",MBBS,32 Years,Not Available,"FRCS (UK),  FACS (USA)",Under 15 Min,10,100%,Lahore
Dr. Muhammad Zaheer,Urologist,M.B.B.S.,4 Years,"Rs. 3,000",F.C.P.S. (Urology),15 - 30 Min,370,99%,Lahore
Dr. Salahuddin,"Urologist, Sexologist",M.B.B.S.,11 Years,Not Available,"F.I.C.S (USA),  M.S (Pak)",Under 15 Min,291,100%,Lahore
Prof. Dr. Khizar Hayat Gondal,"Urologist, Andrologist",MBBS,30 Years,"Rs. 3,000","FCPS (Urology),  Training Laparoscopic Surgery",Under 15 Min,757,98%,Lahore
Assoc. Prof. Dr. Muhammad Haroon Ghous,"Urologist, Andrologist, Uro-Oncologist, Sexologist",M.B.,25 Years,"Rs. 3,000","B.S,  F.R.C.S (Urology),  F.R.C.S (Edinburgh)",Under 15 Min,50,95%,Lahore
Dr. Azfar Ali,Urologist,MBBS,"100%
                                                                                    (2)","Rs. 3,000","MCPS,  FCPS (Urology)",15 - 30 Min,2,,Lahore
Dr. Muhammad Ammar,"Urologist, Sexologist",M.B.B.S.,9 Years,"Rs. 2,000",F.C.P.S (Urology),Under 15 Min,811,98%,Lahore
Dr. Tanweer Ahmed Naveed Bhatti,Urologist,MBBS,30 Years,"Rs. 5,000","MCPS,  FRCS",Under 15 Min,19,94%,Lahore
Assist. Prof. Dr. Naseem Javed,"Pediatric Urologist, Sexologist, Urologist",MBBS,15 Years,"Rs. 4,000",FCPS (Urology),15 - 30 Min,671,99%,Lahore
Dr. Asif Shahzad,Urologist,M.B.B.S.,17 Years,Not Available,F.C.P.S. (Urology),Under 15 Min,169,96%,Lahore
Dr. Maisam Ali Shahid,"Urologist, Male Sexual Health Specialist, Sexologist",MBBS,9 Years,"Rs. 1,500",FCPS (Urology),Under 15 Min,417,98%,Lahore
Dr. Munir Amin Mughal,"Urologist, Kidney Transplant Surgeon",M.B.B.S.,34 Years,Not Available,"F.R.C.S.,  Dip. in Urology",Under 15 Min,181,99%,Lahore
Dr. Muhammad Ahad Pervaiz,"Urologist, Sexologist, Male Sexual Health Specialist",MBBS,9 Years,Not Available,"FCPS (Urology),  MRCPS (Glasg)",Under 15 Min,212,98%,Lahore
Dr. Farooq Hameed,"Urologist, Laser Specialist, Endoscopic Surgeon",MBBS,42 Years,"Rs. 4,000",MS (Urology),15 - 30 Min,252,98%,Lahore
Dr. Farooq Malik,"Urologist, Sexologist",M.S (Urology),15 Years,"Rs. 3,000",M.D.,Under 15 Min,917,98%,Lahore
Dr. Tariq Mahmood,"Urologist, Male Sexual Health Specialist",M.B.B.S,13 Years,"Rs. 2,000","F.C.P.S (Urology),  M.C.P.S",15 - 30 Min,208,98%,Lahore
Dr. Nauman Ahmed,"Urologist, Male Sexual Health Specialist, Sexologist",MBBS,18 Years,Not Available,MS (Urology),Under 15 Min,137,96%,Lahore
Dr. Zia Ul Haque,"Urologist, Male Sexual Health Specialist",M.B.B.S,8 Years,Not Available,MS (Urology),Under 15 Min,12,100%,Lahore
Dr. Rizwan Hussain,Urologist,MBBS,8 Years,Not Available,FCPS,"86%
                                                                                    (10)",10,100%,Lahore
Dr. Hafiz M. Asad Ur Rehman,"Urologist, Pediatric Urologist, Andrologist",M.B.B.S.,9 Years,Not Available,F.C.P.S.,Under 15 Min,70,92%,Lahore
Prof. Dr. Junaid Habib Khan,"Urologist, Male Sexual Health Specialist, Sexologist",M.B.B.S,38 Years,Not Available,MS (Urology),Under 15 Min,665,98%,Lahore
Dr. Majed Saeed,"Urologist, Andrologist",M.B.B.S,7 Years,Not Available,F.C.P.S (Urology),Under 15 Min,67,96%,Lahore
Dr. Sabeeh Ubaid Ullah,"Urologist, Andrologist, Sexologist",M.B.B.S,7 Years,Not Available,F.C.P.S (Urology),Under 15 Min,160,97%,Lahore
Dr. Saleem Shahzad Malik,"Urologist, Sexologist, Andrologist",M.B.B.S.,10 Years,Not Available,F.C.P.S.,Under 15 Min,30,100%,Lahore
Assoc. Prof. Dr. M. Asif Baloch,"Urologist, Sexologist, Kidney Transplant Surgeon, Andrologist",MBBS,10 Years,Not Available,FCPS,Under 15 Min,273,96%,Lahore
Assist. Prof. Dr. Ijaz Ahmad Kharal,"Urologist, Sexologist, Male Sexual Health Specialist",MBBS,36 Years,Not Available,"MS (Urology),  FICS",Under 15 Min,26,93%,Lahore
Dr. Asad Ali Shah,Urologist,MBBS,36 Years,Not Available,"MSN,  CMT",not available,not available,93%,Lahore
Dr. Jamil Rahim,"Sexologist, Urologist",M.B.B.S,15 Years,Not Available,F.C.P.S. (Urology),Under 15 Min,41,100%,Lahore
Dr. Tahir Mehmood Awan,"Urologist, Kidney Transplant Surgeon, Sexologist",M.D.,5 Years,Not Available,F.C.P.S (Urology),Under 15 Min,12,100%,Lahore
Assist. Prof. Dr. Amjad Ali Siddiqui,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist",MBBS,18 Years,Not Available,"MRCS,  FRCS,  Fellowship in Oncoplastic & Reconstructive Breast Surgery",Under 15 Min,253,98%,Lahore
Prof. Dr. Manzoor Ahmad Malik,"Urologist, Sexologist",M.B.B.S.,36 Years,Not Available,F.C.P.S.,Under 15 Min,18,100%,Lahore
Dr. Ammar Yousuf,Urologist,MBBS,5 Years,Not Available,FCPS (Urology),Under 15 Min,4,100%,Lahore
Assist. Prof. Dr. Shah Jahan Khan,Urologist,MBBS,"100%
                                                                                    (14)",Not Available,MS (Urology),Under 15 Min,14,,Lahore
Dr. Muhammad Muzammil Tahir,"Urologist, Male Sexual Health Specialist, Andrologist",MBBS,32 Years,Not Available,FCPS (Urology),Under 15 Min,156,96%,Lahore
Dr. Nadir Hussain,"Urologist, Kidney Transplant Surgeon, Sexologist",MBBS,19 Years,Not Available,MS (Urology),Under 15 Min,100,99%,Lahore
Dr. Ammad Ahmad Siddiqui,"Urologist, Andrologist, Sexologist",MBBS,11 Years,Not Available,MS (Urology),Under 15 Min,7,100%,Lahore
Dr. Muhammad Moin Arshad,Urologist,M.B.B.S,8 Years,Not Available,F.C.P.S. (Urology),15 - 30 Min,2,100%,Lahore
Associate. Prof. Dr. Hassan Raza Asghar,"Urologist, Sexologist",MBBS,15 Years,Not Available,FCPS (Urology),Under 15 Min,72,97%,Lahore
Prof. Dr. Muhammad Khalid Butt,Urologist,M.B.B.S,15 Years,Not Available,M.S (Urology),28 Years,not available,97%,Lahore
Prof. Dr. Muhammad Shahzad Anwar,"Urologist, Sexologist",MBBS,15 Years,Not Available,"MHPE,  FCPS (Urology)",15 - 30 Min,9,88%,Lahore
Dr. Muhammad Shan,Urologist,MBBS,6 Years,Not Available,FCPS (Urology),15 - 30 Min,5,100%,Lahore
Dr. Faisal Masoud,Urologist,MBBS,5 Years,Not Available,MS (Urology),Under 15 Min,21,93%,Lahore
Dr. Elahi Bakhsh,Urologist,M.B.B.S,9 Years,Not Available,F.C.P.S. (Urology),Under 15 Min,3,100%,Lahore
Dr. Athar Hameed,Urologist,MBBS,10 Years,Not Available,MS Urology,Under 15 Min,16,100%,Lahore
Dr. Safdar Khan,Urologist,MBBS,29 Years,Not Available,FRCS,15 - 30 Min,30,100%,Lahore
Prof. Dr. Zahid Hussain,Urologist,MBBS,28 Years,Not Available,"FCPS,  FACS",Under 15 Min,87,91%,Lahore
Dr. Humayoun Saeed,Urologist,MBBS,28 Years,Not Available,FCPS,"100%
                                                                                    (4)",4,91%,Lahore
Prof. Dr. Abdul Mannan,Urologist,MBBS,28 Years,Not Available,M.S. (Urology),not available,not available,91%,Lahore
Prof. Dr. Zia Ul Miraj Ahmad,"Pediatric Urologist, Urologist",MBBS,28 Years,Not Available,"FRCS (Edinburgh),  DCH (Glasgow),  Dip. Peads Surgery (London),  DU (London),  MME (Med)",36 Years,not available,91%,Lahore
Prof. Dr. Khaleeq ur Rehman,"Urologist, Andrologist",MBBS,28 Years,Not Available,"M.S (Urology),  FECSM,  Fellow Urology",32 Years,not available,91%,Lahore
Dr. Ahmed Salman Waris,"Urologist, Sexologist",MBBS,28 Years,Not Available,MS (SUrgery),40 Years,not available,91%,Lahore
Dr. Mohammad Nawaz Chughtai,"Nephrologist, Urologist",MBBS,28 Years,Not Available,"MS,  FICS",38 Years,not available,91%,Lahore
Dr. Shoukat Zubair,Urologist,M.B.B.S,28 Years,Not Available,"FRCS,  DU,  FICS",not available,not available,91%,Lahore
Dr. Muhammad Kaleem,Urologist,MBBS,28 Years,Not Available,MS (Urology),not available,not available,91%,Lahore
Dr. Khalid Javed Rabbani,Urologist,MBBS,28 Years,Not Available,F.R.C.S.,not available,not available,91%,Lahore
Dr. Tahir Iqbal,Urologist,MBBS,28 Years,Not Available,M.S (Urology),not available,not available,91%,Lahore
Dr. Abdul Rab,Urologist,Sernior Medical Officer (SMO) (Urology),28 Years,Not Available,,not available,not available,91%,Lahore
Prof Dr. Zafar Ul Ahsan,Urologist,MBBS,28 Years,Not Available,"FRCS (Surgery),  Dip. Urology (London),  FRCS Urology,  FEBU",39 Years,not available,91%,Lahore
Dr. Muhammad Younis,Urologist,MBBS,28 Years,Not Available,FCPS (urology),not available,not available,91%,Lahore
Dr. Muhammad Rafiq Zaki,"Urologist, Andrologist",MBBS,28 Years,Not Available,"MS (PB),  FCPS",34 Years,not available,91%,Lahore
Dr. Muhammed Naeem,Urologist,MBBS,28 Years,Not Available,"MRCS,  MS (UROLOGY)",not available,not available,91%,Lahore
Dr. Qazi Javeed Iqbal,Urologist,MBBS,28 Years,Not Available,"D.T.C.D.,  MS (Urology)",not available,not available,91%,Lahore
Dr. Mujahid Hussain,Urologist,MBBS,28 Years,Not Available,FCPS-I,not available,not available,91%,Lahore
Dr. Asif Shahzad,Urologist,MBBS,28 Years,Not Available,FCPS,not available,not available,91%,Lahore
Dr. Muhammad Osman Khan,Urologist,,28 Years,Not Available,,not available,not available,91%,Lahore
Dr. Asif Alam Khan,Urologist,M.B.B.S,12 Years,"Rs. 3,000",F.C.P.S. (Urology),15 - 30 Min,30,100%,Islamabad
Assist. Prof. Dr. Muhammad Ghafoor Khan,Urologist,MBBS ( KMU),35 Years,"Rs. 3,000","FRCS (IRELAND),  Diploma in  Urology ( LONDON),  FEBU ( FRANCE)",Under 15 Min,428,98%,Islamabad
Dr. Hasham Khan,Urologist,M.B.B.S,10 Years,"Rs. 3,000","F.C.P.S. (Urology),  MRCS (UK)",Under 15 Min,49,100%,Islamabad
Dr. Fazal Abbas,Urologist,MBBS,12 Years,"Rs. 2,000",FCPS (Urology),Under 15 Min,1151,99%,Islamabad
Dr. Ubaid Ur Rahman,"Urologist, Kidney Transplant Surgeon",M.B.B.S,8 Years,Not Available,"M.S (Urology),  Certified in Kidney Transplantation",Under 15 Min,267,100%,Islamabad
Dr. Saadat Hassan Shah Hashmi,"Urologist, Sexologist",MBBS,17 Years,"Rs. 3,000",FCPS (Urology),Under 15 Min,71,99%,Islamabad
Dr. Umar Muhammad Hussain,Urologist,MBBS,8 Years,Not Available,FCPS (Urology),15 - 30 Min,9,100%,Islamabad
Prof. Dr. Salman Ahmed Tipu,"Urologist, Andrologist, Sexologist, General Surgeon",MBBS,28 Years,"Rs. 2,000","FRCS (Surgery),  FCPS (Urology)",Under 15 Min,627,96%,Islamabad
Prof. Dr. Musharaf Ali Khan,"Urologist, Sexologist",MBBS,27 Years,"Rs. 3,000",FCPS (Urology),Under 15 Min,453,98%,Islamabad
Dr. Mohsin Naveed,"Urologist, Male Sexual Health Specialist",MBBS,13 Years,"Rs. 2,500",MS (Urology),Under 15 Min,346,99%,Islamabad
Dr. Arzu Yousuf,Urologist,MBBS,9 Years,"Rs. 3,000",FCPS (Urology),Under 15 Min,18,100%,Islamabad
